_realexit	Src/builtin.c:5962
_zclz64	Src/Modules/random_real.c:49
abort_match	Src/Zle/compmatch.c:312
accept_last	Src/Zle/compresult.c:1288
acceptandhold	Src/Zle/zle_misc.c:409
acceptandinfernexthistory	Src/Zle/zle_hist.c:1757
acceptandmenucomplete	Src/Zle/zle_tricky.c:353
acceptline	Src/Zle/zle_misc.c:401
acceptlineanddownhistory	Src/Zle/zle_hist.c:420
acquire_pgrp	Src/jobs.c:3222
add	Src/lex.c:451
add_autobin	Src/module.c:426
add_autocond	Src/module.c:792
add_autoload_function	Src/builtin.c:3278
add_automathfunc	Src/module.c:1410
add_autoparam	Src/module.c:1198
add_bmatchers	Src/Zle/compmatch.c:101
add_cursor_char	Src/Zle/zle_keymap.c:1248
add_cursor_key	Src/Zle/zle_keymap.c:1258
add_dep	Src/module.c:2369
add_match_data	Src/Zle/compcore.c:2643
add_match_part	Src/Zle/compmatch.c:373
add_match_str	Src/Zle/compmatch.c:327
add_match_sub	Src/Zle/compmatch.c:446
add_opt_val	Src/Modules/zutil.c:1642
addbgstatus	Src/jobs.c:2325
addbufspc	Src/prompt.c:991
addbuiltin	Src/module.c:409
addbuiltins	Src/module.c:544
addcompparams	Src/Zle/complete.c:1297
addconddef	Src/module.c:703
addenv	Src/params.c:5448
addexpl	Src/Zle/compcore.c:3140
addfd	Src/exec.c:2397
addfilelist	Src/jobs.c:1373
addhashnode	Src/hashtable.c:157
addhashnode2	Src/hashtable.c:168
addhistnode	Src/hashtable.c:1427
addhistnum	Src/hist.c:1266
addhnmatch	Src/Zle/compctl.c:2122
addhookdef	Src/module.c:864
addhookdeffunc	Src/module.c:939
addhookdefs	Src/module.c:883
addhookfunc	Src/module.c:948
addkeybuf	Src/Zle/zle_keymap.c:1717
addlockfd	Src/utils.c:2112
addmatch	Src/Zle/compcore.c:2041
addmatch	Src/Zle/compctl.c:1926
addmatches	Src/Zle/compcore.c:2080
addmathfunc	Src/module.c:1313
addmodulefd	Src/utils.c:2091
addmultiword	Src/Zle/zle_refresh.c:913
addnameddirnode	Src/hashnameddir.c:121
addparamdef	Src/module.c:1061
addpath	Src/glob.c:265
addprepromptfn	Src/utils.c:1319
addproc	Src/jobs.c:1538
addstyle	Src/Modules/zutil.c:403
addsuffix	Src/Zle/zle_misc.c:1558
addsuffixstring	Src/Zle/zle_misc.c:1580
addtimedfn	Src/utils.c:1371
addunprintable	Src/utils.c:6083
adduserdir	Src/utils.c:1187
addvars	Src/exec.c:2499
addwrapper	Src/module.c:577
addx	Src/Zle/zle_tricky.c:922
